All_Cases_1to2wk	EQBO_1to2wk	WQBO_1to2wk	EQBO_with_ws<13m/s_1to2wk	WQBO_and_EQBO_with_WS>13m/s_1to2wk	EQBO_with_ws<10m/s_1to2wk	WQBO_and_EQBO_with_WS>10m/s_1to2wk	EQBO_with_ws<7m/s_1to2wk	WQBO_and_EQBO_with_WS>7m/s_1to2wk	ZMZW_at_60N_10hPa<3.8m/s_1to2wk	ZMZW_at_60N_10hPa>3.8m/s_1to2wk	SWIneg_1to2wk	SWIplain_1to2wk	All_Cases_3to4wk	EQBO_3to4wk	WQBO_3to4wk	EQBO_with_ws<13m/s_3to4wk	WQBO_and_EQBO_with_WS>13m/s_3to4wk	EQBO_with_ws<10m/s_3to4wk	WQBO_and_EQBO_with_WS>10m/s_3to4wk	EQBO_with_ws<7m/s_3to4wk	WQBO_and_EQBO_with_WS>7m/s_3to4wk	ZMZW_at_60N_10hPa<3.8m/s_3to4wk	ZMZW_at_60N_10hPa>3.8m/s_3to4wk	SWIneg_3to4wk	SWIplain_3to4wk	All_Cases_5to6wk	EQBO_5to6wk	WQBO_5to6wk	EQBO_with_ws<13m/s_5to6wk	WQBO_and_EQBO_with_WS>13m/s_5to6wk	EQBO_with_ws<10m/s_5to6wk	WQBO_and_EQBO_with_WS>10m/s_5to6wk	EQBO_with_ws<7m/s_5to6wk	WQBO_and_EQBO_with_WS>7m/s_5to6wk	ZMZW_at_60N_10hPa<3.8m/s_5to6wk	ZMZW_at_60N_10hPa>3.8m/s_5to6wk	SWIneg_5to6wk	SWIplain_5to6wk
-3.073	-1.914	-2.306	NA	-0.488	NA	-1.141	NA	-2.654	NA	-2.117	NA	-1.056	-1.804	-4.387	-5.265	NA	0.916	NA	0.135	NA	-4.353	NA	2.523	NA	-1.466	-1.451	-3.267	-3.806	NA	0.189	NA	-2.277	NA	-2.286	NA	-0.288	NA	-0.272
-1.451	-1.838	-3.806	NA	0.189	NA	-1.529	NA	-2.286	NA	-0.288	NA	-1.87	-3.503	-3.202	-2.411	NA	0.129	NA	-0.131	NA	-3.607	NA	-0.795	NA	-1.646	0.321	-2.396	0.989	NA	0.093	NA	-3.856	NA	-2.517	NA	-1.016	NA	0.302
-2.117	-1.678	0.834	NA	-2.533	NA	-1.056	NA	-2.509	NA	-1.016	NA	0.573	2.523	-4.337	-0.824	NA	-3.455	NA	-1.466	NA	-0.583	NA	-1.443	NA	-1.091	-0.288	-2.84	-0.22	NA	-2.654	NA	-0.272	NA	-1.593	NA	-0.557	NA	2.185
-0.288	-0.061	1.653	NA	-1.315	NA	-1.87	NA	-2.213	NA	0.569	NA	1.339	-0.795	-1.908	-1.362	NA	-0.382	NA	-1.646	NA	-2.498	NA	0.268	NA	-2.118	-1.016	-3.569	-0.137	NA	-0.095	NA	0.302	NA	-3.356	NA	-3.17	NA	-0.933
-1.016	-3.569	-0.137	NA	-0.095	NA	0.573	NA	-3.356	NA	-1.505	NA	0.525	-1.443	-2.939	0.072	NA	-1.225	NA	-1.091	NA	-2.065	NA	-1.953	NA	-0.691	-0.557	-2.945	-1.836	NA	-1.327	NA	2.185	NA	-3.377	NA	-2.654	NA	-1.64
0.569	-1.648	-1.836	NA	-1.914	NA	1.339	NA	-3.063	NA	-2.654	NA	-1.64	0.268	-1.409	-2.605	NA	-4.387	NA	-2.118	NA	-0.381	NA	-4.353	NA	-3.293	-3.17	-2.729	-1.304	NA	-3.267	NA	-0.933	NA	-0.88	NA	-2.286	NA	-3.035
-1.505	-2.729	-0.924	NA	-1.838	NA	0.525	NA	0.03	NA	-2.286	NA	0.189	-1.953	-2.029	-1.746	NA	-3.202	NA	-0.691	NA	-0.048	NA	-3.607	NA	0.129	-2.654	-2.013	-1.463	NA	-2.396	NA	-1.64	NA	0.443	NA	-2.517	NA	0.093
-2.654	-2.087	0.182	NA	1.02	NA	-1.64	NA	-1.434	NA	-2.509	NA	-2.533	-4.353	-1.465	-0.587	NA	-0.625	NA	-3.293	NA	-2.185	NA	-0.583	NA	-3.455	-2.286	-1.348	0.115	NA	-0.791	NA	-3.035	NA	-2.723	NA	-1.593	NA	-2.654
-2.286	-1.348	-1.285	NA	-0.791	NA	-0.488	NA	-2.603	NA	-2.213	NA	-1.315	-3.607	-0.966	-1.018	NA	0.71	NA	0.916	NA	-1.534	NA	-2.498	NA	-0.382	-2.517	-2.468	-3.546	NA	1.723	NA	0.189	NA	-4.269	NA	-3.356	NA	-0.095
-2.509	-2.468	-3.585	NA	-1.5	NA	0.189	NA	-4.269	NA	-3.063	NA	-0.095	-0.583	0.397	-4.898	NA	-3.819	NA	0.129	NA	-3.15	NA	-0.381	NA	-1.225	-1.593	-1.654	-1.527	NA	-1.939	NA	0.093	NA	-2.726	NA	-0.88	NA	-1.327
-2.213	-1.654	-1.905	NA	-3.569	NA	-2.533	NA	-2.479	NA	0.03	NA	-1.914	-2.498	-1.037	-1.499	NA	-2.939	NA	-3.455	NA	-0.393	NA	-0.048	NA	-4.387	-3.356	-0.027	-2.236	NA	-2.945	NA	-2.654	NA	-1.854	NA	0.443	NA	-3.267
-3.356	-0.844	-3.137	NA	-1.648	NA	-1.315	NA	-3.346	NA	-1.434	NA	1.02	-2.065	0.055	-1.473	NA	-1.409	NA	-0.382	NA	-4.123	NA	-2.185	NA	-0.625	-3.377	-3.767	-0.928	NA	-2.729	NA	-0.095	NA	-0.468	NA	-2.723	NA	-0.791
-3.063	-3.846	-0.297	NA	-2.729	NA	-0.095	NA	0.325	NA	-2.603	NA	-0.791	-0.381	-5.821	0.943	NA	-2.029	NA	-1.225	NA	0.433	NA	-1.534	NA	0.71	-0.88	-5.533	-0.184	NA	-2.013	NA	-1.327	NA	-1.733	NA	-4.269	NA	1.723
0.03	-5.533	NA	NA	-1.487	NA	-1.914	NA	-1.141	NA	-4.269	NA	-1.5	-0.048	-2.138	NA	NA	-0.968	NA	-4.387	NA	0.135	NA	-3.15	NA	-3.819	0.443	-5.205	NA	NA	0.492	NA	-3.267	NA	-2.277	NA	-2.726	NA	-1.939
-1.434	-5.205	NA	NA	1.182	NA	-1.838	NA	-1.529	NA	-2.479	NA	-0.061	-2.185	-4.73	NA	NA	0.819	NA	-3.202	NA	-0.131	NA	-0.393	NA	-1.908	-2.723	-2.17	NA	NA	2.42	NA	-2.396	NA	-3.856	NA	-1.854	NA	-3.569
-2.603	-1.016	NA	NA	2.605	NA	1.02	NA	-1.056	NA	-3.346	NA	-3.569	-1.534	0.676	NA	NA	-0.432	NA	-0.625	NA	-1.466	NA	-4.123	NA	-2.939	-4.269	0.991	NA	NA	-2.184	NA	-0.791	NA	-0.272	NA	-0.468	NA	-2.945
-4.269	0.991	NA	NA	-2.184	NA	-0.791	NA	-1.87	NA	0.325	NA	-1.648	-3.15	-0.018	NA	NA	-2.1	NA	0.71	NA	-1.646	NA	0.433	NA	-1.409	-2.726	0.123	NA	NA	0.009	NA	1.723	NA	0.302	NA	-1.733	NA	-2.729
-2.479	0.123	NA	NA	-1.348	NA	-1.5	NA	0.573	NA	-1.141	NA	-1.487	-0.393	-3.451	NA	NA	-0.966	NA	-3.819	NA	-1.091	NA	0.135	NA	-0.968	-1.854	-2.906	NA	NA	-2.468	NA	-1.939	NA	2.185	NA	-2.277	NA	0.492
-3.346	-2.465	NA	NA	-2.468	NA	-0.061	NA	1.339	NA	-1.529	NA	1.182	-4.123	0.336	NA	NA	0.397	NA	-1.908	NA	-2.118	NA	-0.131	NA	0.819	-0.468	0.076	NA	NA	-1.654	NA	-3.569	NA	-0.933	NA	-3.856	NA	2.42
0.325	-2.439	NA	NA	-1.654	NA	-3.569	NA	-3.114	NA	-1.056	NA	2.605	0.433	-2.399	NA	NA	-1.037	NA	-2.939	NA	-1.631	NA	-1.466	NA	-0.432	-1.733	-3.902	NA	NA	-0.027	NA	-2.945	NA	-1.792	NA	-0.272	NA	-2.184
-1.141	-3.902	NA	NA	-0.936	NA	-1.648	NA	0.525	NA	-1.87	NA	-2.184	0.135	-3.371	NA	NA	-1.521	NA	-1.409	NA	-0.691	NA	-1.646	NA	-2.1	-2.277	-0.981	NA	NA	-2.305	NA	-2.729	NA	-1.64	NA	0.302	NA	0.009
-1.529	-1.932	NA	NA	-2.109	NA	-2.729	NA	-1.64	NA	0.573	NA	-2.087	-0.131	-2.744	NA	NA	-0.857	NA	-2.029	NA	-3.293	NA	-1.091	NA	-1.465	-3.856	-1.089	NA	NA	-2.099	NA	-2.013	NA	-3.035	NA	2.185	NA	-1.348
-1.056	-1.26	NA	NA	-2.099	NA	-1.487	NA	-0.488	NA	1.339	NA	-1.348	-1.466	-2.62	NA	NA	0.092	NA	-0.968	NA	0.916	NA	-2.118	NA	-0.966	-0.272	-3.802	NA	NA	-3.178	NA	0.492	NA	0.189	NA	-0.933	NA	-2.468
-1.87	-2.611	NA	NA	-3.178	NA	1.182	NA	0.189	NA	-3.114	NA	-2.468	-1.646	-1.965	NA	NA	-1.493	NA	0.819	NA	0.129	NA	-1.631	NA	0.397	0.302	-1.191	NA	NA	-0.694	NA	2.42	NA	0.093	NA	-1.792	NA	-1.654
0.573	-1.009	NA	NA	-1.041	NA	2.605	NA	-2.533	NA	-1.792	NA	-1.654	-1.091	-1.28	NA	NA	-4.058	NA	-0.432	NA	-3.455	NA	-4.635	NA	-1.037	2.185	-0.257	NA	NA	-2.306	NA	-2.184	NA	-2.654	NA	-4.688	NA	-0.027
1.339	0.661	NA	NA	-2.306	NA	-2.184	NA	-0.576	NA	-3.079	NA	-0.936	-2.118	-1.375	NA	NA	-5.265	NA	-2.1	NA	-0.707	NA	-0.887	NA	-1.521	-0.933	-1.46	NA	NA	-3.806	NA	0.009	NA	-0.516	NA	-2.12	NA	-2.305
-3.114	-1.46	NA	NA	-3.806	NA	-2.087	NA	-1.315	NA	-1.782	NA	-2.109	-1.631	-0.093	NA	NA	-2.411	NA	-1.465	NA	-0.382	NA	-4.854	NA	-0.857	-1.792	1.085	NA	NA	0.989	NA	-1.348	NA	-0.095	NA	-3.43	NA	-2.099
-1.792	NA	NA	NA	0.834	NA	-1.348	NA	-0.095	NA	0.525	NA	-2.099	-4.635	NA	NA	NA	-0.824	NA	-0.966	NA	-1.225	NA	-0.691	NA	0.092	-4.688	NA	NA	NA	-0.22	NA	-2.468	NA	-1.327	NA	-1.64	NA	-3.178
-3.079	NA	NA	NA	-2.439	NA	-2.468	NA	-1.914	NA	-1.64	NA	-0.844	-0.887	NA	NA	NA	-2.399	NA	0.397	NA	-4.387	NA	-3.293	NA	0.055	-2.12	NA	NA	NA	-3.902	NA	-1.654	NA	-3.267	NA	-3.035	NA	-3.767
-1.782	NA	NA	NA	-3.902	NA	-1.654	NA	-1.838	NA	0.189	NA	-5.533	-4.854	NA	NA	NA	-3.371	NA	-1.037	NA	-3.202	NA	0.129	NA	-2.138	-3.43	NA	NA	NA	-0.981	NA	-0.027	NA	-2.396	NA	0.093	NA	-5.205
0.525	NA	NA	NA	-1.932	NA	-0.936	NA	1.02	NA	-2.533	NA	-1.041	-0.691	NA	NA	NA	-2.744	NA	-1.521	NA	-0.625	NA	-3.455	NA	-4.058	-1.64	NA	NA	NA	-1.089	NA	-2.305	NA	-0.791	NA	-2.654	NA	-2.306
-1.64	NA	NA	NA	-1.26	NA	-2.109	NA	-0.791	NA	-2.654	NA	-2.306	-3.293	NA	NA	NA	-2.62	NA	-0.857	NA	0.71	NA	-1.99	NA	-5.265	-3.035	NA	NA	NA	-3.802	NA	-2.099	NA	1.723	NA	-2.757	NA	-3.806
-0.488	NA	NA	NA	1.653	NA	-2.099	NA	-1.5	NA	-2.245	NA	-3.806	0.916	NA	NA	NA	-1.362	NA	0.092	NA	-3.819	NA	-3.575	NA	-2.411	0.189	NA	NA	NA	-0.137	NA	-3.178	NA	-1.939	NA	-0.76	NA	0.989
0.189	NA	NA	NA	-0.137	NA	-3.178	NA	-1.678	NA	-0.576	NA	0.834	0.129	NA	NA	NA	0.072	NA	-1.493	NA	-4.337	NA	-0.707	NA	-0.824	0.093	NA	NA	NA	-1.836	NA	-0.694	NA	-2.84	NA	-0.516	NA	-0.22
-2.533	NA	NA	NA	-1.836	NA	-0.844	NA	-0.061	NA	-1.315	NA	-1.016	-3.455	NA	NA	NA	-2.605	NA	0.055	NA	-1.908	NA	-0.382	NA	0.676	-2.654	NA	NA	NA	-1.304	NA	-3.767	NA	-3.569	NA	-0.095	NA	0.991
-2.654	NA	NA	NA	-0.924	NA	-5.533	NA	-3.569	NA	-0.095	NA	0.991	-1.99	NA	NA	NA	-1.746	NA	-2.138	NA	-2.939	NA	-1.225	NA	-0.018	-2.757	NA	NA	NA	-1.463	NA	-5.205	NA	-2.945	NA	-1.327	NA	0.123
-2.245	NA	NA	NA	0.661	NA	-1.041	NA	-1.648	NA	-1.914	NA	-2.439	-3.575	NA	NA	NA	-1.375	NA	-4.058	NA	-1.409	NA	-4.387	NA	-2.399	-0.76	NA	NA	NA	-1.46	NA	-2.306	NA	-2.729	NA	-3.267	NA	-3.902
-0.576	NA	NA	NA	-1.46	NA	-2.306	NA	-2.729	NA	1.02	NA	-3.902	-0.707	NA	NA	NA	-0.093	NA	-5.265	NA	-2.029	NA	-0.625	NA	-3.371	-0.516	NA	NA	NA	1.085	NA	-3.806	NA	-2.013	NA	-0.791	NA	-0.981
-1.315	NA	NA	NA	0.182	NA	-3.806	NA	-1.487	NA	-0.791	NA	-1.932	-0.382	NA	NA	NA	-0.587	NA	-2.411	NA	-0.968	NA	0.71	NA	-2.744	-0.095	NA	NA	NA	0.115	NA	0.989	NA	0.492	NA	1.723	NA	-1.089
-0.095	NA	NA	NA	-1.285	NA	0.834	NA	1.182	NA	-1.5	NA	1.653	-1.225	NA	NA	NA	-1.018	NA	-0.824	NA	0.819	NA	-3.819	NA	-1.362	-1.327	NA	NA	NA	-3.546	NA	-0.22	NA	2.42	NA	-1.939	NA	-0.137
-1.914	NA	NA	NA	-3.585	NA	-1.016	NA	2.605	NA	-1.678	NA	-0.137	-4.387	NA	NA	NA	-4.898	NA	0.676	NA	-0.432	NA	-4.337	NA	0.072	-3.267	NA	NA	NA	-1.527	NA	0.991	NA	-2.184	NA	-2.84	NA	-1.836
-1.838	NA	NA	NA	-1.905	NA	0.991	NA	-2.184	NA	-0.061	NA	-1.836	-3.202	NA	NA	NA	-1.499	NA	-0.018	NA	-2.1	NA	-1.908	NA	-2.605	-2.396	NA	NA	NA	-2.236	NA	0.123	NA	0.009	NA	-3.569	NA	-1.304
1.02	NA	NA	NA	-3.137	NA	-2.439	NA	-2.087	NA	-3.569	NA	-0.924	-0.625	NA	NA	NA	-1.473	NA	-2.399	NA	-1.465	NA	-2.939	NA	-1.746	-0.791	NA	NA	NA	-0.928	NA	-3.902	NA	-1.348	NA	-2.945	NA	-1.463
-0.791	NA	NA	NA	-0.297	NA	-3.902	NA	-1.348	NA	-1.648	NA	0.661	0.71	NA	NA	NA	0.943	NA	-3.371	NA	-0.966	NA	-1.409	NA	-1.375	1.723	NA	NA	NA	-0.184	NA	-0.981	NA	-2.468	NA	-2.729	NA	-1.46
-1.5	NA	NA	NA	NA	NA	-1.932	NA	-2.468	NA	-1.487	NA	-1.46	-3.819	NA	NA	NA	NA	NA	-2.744	NA	0.397	NA	-0.968	NA	-0.093	-1.939	NA	NA	NA	NA	NA	-1.089	NA	-1.654	NA	0.492	NA	1.085
-1.678	NA	NA	NA	NA	NA	-1.26	NA	-1.654	NA	1.182	NA	0.182	-4.337	NA	NA	NA	NA	NA	-2.62	NA	-1.037	NA	0.819	NA	-0.587	-2.84	NA	NA	NA	NA	NA	-3.802	NA	-0.027	NA	2.42	NA	0.115
-0.061	NA	NA	NA	NA	NA	1.653	NA	-0.936	NA	2.605	NA	-1.285	-1.908	NA	NA	NA	NA	NA	-1.362	NA	-1.521	NA	-0.432	NA	-1.018	-3.569	NA	NA	NA	NA	NA	-0.137	NA	-2.305	NA	-2.184	NA	-3.546
-3.569	NA	NA	NA	NA	NA	-0.137	NA	-2.109	NA	-2.184	NA	-3.585	-2.939	NA	NA	NA	NA	NA	0.072	NA	-0.857	NA	-2.1	NA	-4.898	-2.945	NA	NA	NA	NA	NA	-1.836	NA	-2.099	NA	0.009	NA	-1.527
-1.648	NA	NA	NA	NA	NA	-1.836	NA	-2.099	NA	-2.087	NA	-1.905	-1.409	NA	NA	NA	NA	NA	-2.605	NA	0.092	NA	-1.465	NA	-1.499	-2.729	NA	NA	NA	NA	NA	-1.304	NA	-3.178	NA	-1.348	NA	-2.236
-2.729	NA	NA	NA	NA	NA	-0.924	NA	-3.178	NA	-1.348	NA	-3.137	-2.029	NA	NA	NA	NA	NA	-1.746	NA	-1.493	NA	-0.966	NA	-1.473	-2.013	NA	NA	NA	NA	NA	-1.463	NA	-0.694	NA	-2.468	NA	-0.928
-1.487	NA	NA	NA	NA	NA	0.661	NA	-0.844	NA	-2.468	NA	-0.297	-0.968	NA	NA	NA	NA	NA	-1.375	NA	0.055	NA	0.397	NA	0.943	0.492	NA	NA	NA	NA	NA	-1.46	NA	-3.767	NA	-1.654	NA	-0.184
1.182	NA	NA	NA	NA	NA	-1.46	NA	-3.846	NA	-1.654	NA	NA	0.819	NA	NA	NA	NA	NA	-0.093	NA	-5.821	NA	-1.037	NA	NA	2.42	NA	NA	NA	NA	NA	1.085	NA	-5.533	NA	-0.027	NA	NA
2.605	NA	NA	NA	NA	NA	0.182	NA	-5.533	NA	-0.936	NA	NA	-0.432	NA	NA	NA	NA	NA	-0.587	NA	-2.138	NA	-1.521	NA	NA	-2.184	NA	NA	NA	NA	NA	0.115	NA	-5.205	NA	-2.305	NA	NA
-2.184	NA	NA	NA	NA	NA	-1.285	NA	-5.205	NA	-2.109	NA	NA	-2.1	NA	NA	NA	NA	NA	-1.018	NA	-4.73	NA	-0.857	NA	NA	0.009	NA	NA	NA	NA	NA	-3.546	NA	-2.17	NA	-2.099	NA	NA
-2.087	NA	NA	NA	NA	NA	-3.585	NA	-1.041	NA	-2.099	NA	NA	-1.465	NA	NA	NA	NA	NA	-4.898	NA	-4.058	NA	0.092	NA	NA	-1.348	NA	NA	NA	NA	NA	-1.527	NA	-2.306	NA	-3.178	NA	NA
-1.348	NA	NA	NA	NA	NA	-1.905	NA	-2.306	NA	-0.844	NA	NA	-0.966	NA	NA	NA	NA	NA	-1.499	NA	-5.265	NA	0.055	NA	NA	-2.468	NA	NA	NA	NA	NA	-2.236	NA	-3.806	NA	-3.767	NA	NA
-2.468	NA	NA	NA	NA	NA	-3.137	NA	-3.806	NA	-3.846	NA	NA	0.397	NA	NA	NA	NA	NA	-1.473	NA	-2.411	NA	-5.821	NA	NA	-1.654	NA	NA	NA	NA	NA	-0.928	NA	0.989	NA	-5.533	NA	NA
-1.654	NA	NA	NA	NA	NA	-0.297	NA	0.834	NA	-5.533	NA	NA	-1.037	NA	NA	NA	NA	NA	0.943	NA	-0.824	NA	-2.138	NA	NA	-0.027	NA	NA	NA	NA	NA	-0.184	NA	-0.22	NA	-5.205	NA	NA
-0.936	NA	NA	NA	NA	NA	NA	NA	-1.016	NA	-1.041	NA	NA	-1.521	NA	NA	NA	NA	NA	NA	NA	0.676	NA	-4.058	NA	NA	-2.305	NA	NA	NA	NA	NA	NA	NA	0.991	NA	-2.306	NA	NA
-2.109	NA	NA	NA	NA	NA	NA	NA	0.991	NA	-2.306	NA	NA	-0.857	NA	NA	NA	NA	NA	NA	NA	-0.018	NA	-5.265	NA	NA	-2.099	NA	NA	NA	NA	NA	NA	NA	0.123	NA	-3.806	NA	NA
-2.099	NA	NA	NA	NA	NA	NA	NA	-2.439	NA	-3.806	NA	NA	0.092	NA	NA	NA	NA	NA	NA	NA	-2.399	NA	-2.411	NA	NA	-3.178	NA	NA	NA	NA	NA	NA	NA	-3.902	NA	0.989	NA	NA
-3.178	NA	NA	NA	NA	NA	NA	NA	-3.902	NA	0.834	NA	NA	-1.493	NA	NA	NA	NA	NA	NA	NA	-3.371	NA	-0.824	NA	NA	-0.694	NA	NA	NA	NA	NA	NA	NA	-0.981	NA	-0.22	NA	NA
-0.844	NA	NA	NA	NA	NA	NA	NA	-1.932	NA	-1.016	NA	NA	0.055	NA	NA	NA	NA	NA	NA	NA	-2.744	NA	0.676	NA	NA	-3.767	NA	NA	NA	NA	NA	NA	NA	-1.089	NA	0.991	NA	NA
-3.846	NA	NA	NA	NA	NA	NA	NA	-1.26	NA	0.991	NA	NA	-5.821	NA	NA	NA	NA	NA	NA	NA	-2.62	NA	-0.018	NA	NA	-5.533	NA	NA	NA	NA	NA	NA	NA	-3.802	NA	0.123	NA	NA
-5.533	NA	NA	NA	NA	NA	NA	NA	1.653	NA	0.123	NA	NA	-2.138	NA	NA	NA	NA	NA	NA	NA	-1.362	NA	-3.451	NA	NA	-5.205	NA	NA	NA	NA	NA	NA	NA	-0.137	NA	-2.906	NA	NA
-5.205	NA	NA	NA	NA	NA	NA	NA	-0.137	NA	-2.465	NA	NA	-4.73	NA	NA	NA	NA	NA	NA	NA	0.072	NA	0.336	NA	NA	-2.17	NA	NA	NA	NA	NA	NA	NA	-1.836	NA	0.076	NA	NA
-1.041	NA	NA	NA	NA	NA	NA	NA	-1.836	NA	-2.439	NA	NA	-4.058	NA	NA	NA	NA	NA	NA	NA	-2.605	NA	-2.399	NA	NA	-2.306	NA	NA	NA	NA	NA	NA	NA	-1.304	NA	-3.902	NA	NA
-2.306	NA	NA	NA	NA	NA	NA	NA	-0.924	NA	-3.902	NA	NA	-5.265	NA	NA	NA	NA	NA	NA	NA	-1.746	NA	-3.371	NA	NA	-3.806	NA	NA	NA	NA	NA	NA	NA	-1.463	NA	-0.981	NA	NA
-3.806	NA	NA	NA	NA	NA	NA	NA	-1.009	NA	-1.932	NA	NA	-2.411	NA	NA	NA	NA	NA	NA	NA	-1.28	NA	-2.744	NA	NA	0.989	NA	NA	NA	NA	NA	NA	NA	-0.257	NA	-1.089	NA	NA
0.834	NA	NA	NA	NA	NA	NA	NA	0.661	NA	1.653	NA	NA	-0.824	NA	NA	NA	NA	NA	NA	NA	-1.375	NA	-1.362	NA	NA	-0.22	NA	NA	NA	NA	NA	NA	NA	-1.46	NA	-0.137	NA	NA
-1.016	NA	NA	NA	NA	NA	NA	NA	-1.46	NA	-0.137	NA	NA	0.676	NA	NA	NA	NA	NA	NA	NA	-0.093	NA	0.072	NA	NA	0.991	NA	NA	NA	NA	NA	NA	NA	1.085	NA	-1.836	NA	NA
0.991	NA	NA	NA	NA	NA	NA	NA	0.182	NA	-1.836	NA	NA	-0.018	NA	NA	NA	NA	NA	NA	NA	-0.587	NA	-2.605	NA	NA	0.123	NA	NA	NA	NA	NA	NA	NA	0.115	NA	-1.304	NA	NA
0.123	NA	NA	NA	NA	NA	NA	NA	-1.285	NA	-0.924	NA	NA	-3.451	NA	NA	NA	NA	NA	NA	NA	-1.018	NA	-1.746	NA	NA	-2.906	NA	NA	NA	NA	NA	NA	NA	-3.546	NA	-1.463	NA	NA
-2.465	NA	NA	NA	NA	NA	NA	NA	-3.585	NA	-2.611	NA	NA	0.336	NA	NA	NA	NA	NA	NA	NA	-4.898	NA	-1.965	NA	NA	0.076	NA	NA	NA	NA	NA	NA	NA	-1.527	NA	-1.191	NA	NA
-2.439	NA	NA	NA	NA	NA	NA	NA	-1.905	NA	-1.009	NA	NA	-2.399	NA	NA	NA	NA	NA	NA	NA	-1.499	NA	-1.28	NA	NA	-3.902	NA	NA	NA	NA	NA	NA	NA	-2.236	NA	-0.257	NA	NA
-3.902	NA	NA	NA	NA	NA	NA	NA	-3.137	NA	0.661	NA	NA	-3.371	NA	NA	NA	NA	NA	NA	NA	-1.473	NA	-1.375	NA	NA	-0.981	NA	NA	NA	NA	NA	NA	NA	-0.928	NA	-1.46	NA	NA
-1.932	NA	NA	NA	NA	NA	NA	NA	-0.297	NA	-1.46	NA	NA	-2.744	NA	NA	NA	NA	NA	NA	NA	0.943	NA	-0.093	NA	NA	-1.089	NA	NA	NA	NA	NA	NA	NA	-0.184	NA	1.085	NA	NA
-1.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.182	NA	NA	-2.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.587	NA	NA	-3.802	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.115	NA	NA
1.653	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.285	NA	NA	-1.362	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.018	NA	NA	-0.137	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.546	NA	NA
-0.137	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.585	NA	NA	0.072	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.898	NA	NA	-1.836	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.527	NA	NA
-1.836	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.905	NA	NA	-2.605	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.499	NA	NA	-1.304	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.236	NA	NA
-0.924	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.137	NA	NA	-1.746	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.473	NA	NA	-1.463	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.928	NA	NA
-2.611	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.297	NA	NA	-1.965	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.943	NA	NA	-1.191	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.184	NA	NA
-1.009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-1.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-1.285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-3.585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-1.905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-3.137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-0.297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
