All_Cases_1to2wk	EQBO_1to2wk	WQBO_1to2wk	EQBO_with_ws<13m/s_1to2wk	WQBO_and_EQBO_with_WS>13m/s_1to2wk	EQBO_with_ws<10m/s_1to2wk	WQBO_and_EQBO_with_WS>10m/s_1to2wk	EQBO_with_ws<7m/s_1to2wk	WQBO_and_EQBO_with_WS>7m/s_1to2wk	ZMZW_at_60N_10hPa<3.8m/s_1to2wk	ZMZW_at_60N_10hPa>3.8m/s_1to2wk	SWIneg_1to2wk	SWIplain_1to2wk	All_Cases_3to4wk	EQBO_3to4wk	WQBO_3to4wk	EQBO_with_ws<13m/s_3to4wk	WQBO_and_EQBO_with_WS>13m/s_3to4wk	EQBO_with_ws<10m/s_3to4wk	WQBO_and_EQBO_with_WS>10m/s_3to4wk	EQBO_with_ws<7m/s_3to4wk	WQBO_and_EQBO_with_WS>7m/s_3to4wk	ZMZW_at_60N_10hPa<3.8m/s_3to4wk	ZMZW_at_60N_10hPa>3.8m/s_3to4wk	SWIneg_3to4wk	SWIplain_3to4wk	All_Cases_5to6wk	EQBO_5to6wk	WQBO_5to6wk	EQBO_with_ws<13m/s_5to6wk	WQBO_and_EQBO_with_WS>13m/s_5to6wk	EQBO_with_ws<10m/s_5to6wk	WQBO_and_EQBO_with_WS>10m/s_5to6wk	EQBO_with_ws<7m/s_5to6wk	WQBO_and_EQBO_with_WS>7m/s_5to6wk	ZMZW_at_60N_10hPa<3.8m/s_5to6wk	ZMZW_at_60N_10hPa>3.8m/s_5to6wk	SWIneg_5to6wk	SWIplain_5to6wk
-0.009	-2.682	-0.825	-3.253	-3.894	-1.415	-3.783	0.123	-3.747	NA	-0.009	-0.056	-2.18	-2.529	-2.584	-2.607	-2.765	-3.587	-0.892	-2.862	-3.451	-6.226	NA	-2.529	-2.171	-2.499	-1.287	-2.92	-2.129	-3.507	-0.407	-2.597	-2.18	-2.906	-3.569	NA	-1.287	-3.482	-3.894
-1.287	-3.253	-2.129	-0.816	-0.825	-2.597	-2.18	-2.465	-3.727	NA	-1.287	-1.415	-3.894	-1.703	-2.765	-1.378	-0.892	-2.607	0.924	-2.499	0.336	-2.656	NA	-1.703	-0.892	-3.587	-3.706	-3.507	-0.69	0.981	-2.129	-0.873	-3.894	0.076	0.43	NA	-3.706	-2.597	-0.407
-2.935	-0.816	-0.69	0.981	-2.129	-0.553	-3.894	-2.611	-1.503	NA	-2.935	-2.597	-0.825	-3.363	-0.892	-1.218	-0.084	-1.378	-0.738	-3.587	-1.965	-4.559	NA	-3.363	0.924	-2.607	-0.702	0.981	-2.221	1.367	-0.69	-1.607	-0.407	-1.191	-3.81	NA	-0.702	-0.873	-2.129
-0.702	0.981	-2.221	1.797	-0.69	-3.073	-0.825	NA	-3.783	NA	-0.702	-0.553	-2.129	-1.642	-0.084	-2.314	1.346	-1.218	-1.804	-2.607	NA	-2.862	NA	-1.642	-0.738	-1.378	-3.747	1.367	-2.3	-0.318	-2.221	-1.451	-2.129	NA	-2.18	NA	-3.747	-1.607	-0.69
-3.747	1.367	-0.916	-0.056	-2.221	-1.451	-2.129	NA	-2.18	NA	-3.727	-3.073	-0.69	-6.226	0.749	-0.596	-2.171	-2.314	-3.503	-1.378	NA	-2.499	NA	-2.656	-1.804	-1.218	-3.569	1.797	-0.478	-3.482	-2.3	0.321	-0.69	NA	-3.894	NA	0.43	-1.451	-2.221
-3.727	1.797	-0.478	-1.415	1.367	-2.654	-0.69	NA	-3.894	NA	-1.503	-1.451	-2.221	-2.656	1.346	0.069	-0.892	0.749	-4.353	-1.218	NA	-3.587	NA	-4.559	-3.503	-2.314	0.43	-0.318	-0.781	-2.597	1.797	-2.286	-2.221	NA	-0.407	NA	-3.81	0.321	-2.3
-1.503	-0.056	-0.985	-2.597	-3.482	-2.286	-2.221	NA	-0.384	NA	-3.783	-2.654	-0.816	-4.559	-2.171	0.922	0.924	-2.102	-3.607	-2.314	NA	0.057	NA	-2.862	-4.353	-0.892	-3.81	-3.482	-2.671	-0.873	-0.327	-2.517	-2.3	NA	-0.057	NA	-2.18	-2.286	0.981
-3.783	-3.482	-2.671	-0.553	-0.327	-2.509	-0.816	NA	-0.057	NA	-2.18	-2.286	0.981	-2.862	-2.102	-2.562	-0.738	-0.029	-0.583	-0.892	NA	-2.174	NA	-2.499	-3.607	-0.084	-2.18	-0.327	-3.381	-1.607	0.094	-1.593	0.981	NA	-2.682	NA	-3.894	-2.517	1.367
-2.18	-0.327	-0.362	-1.607	0.982	-3.114	0.981	NA	-0.825	NA	-3.894	-2.509	1.367	-2.499	-0.029	-1.827	-1.649	0.69	-1.631	-0.084	NA	-2.607	NA	-3.587	-0.583	0.749	-3.894	0.094	-0.029	-3.073	2.245	-1.792	1.367	NA	-2.129	NA	-0.407	-1.593	1.797
-3.894	0.982	-0.178	-3.073	-0.916	-1.792	1.367	NA	-2.129	NA	-0.384	-3.356	1.797	-3.587	0.69	0.488	-1.804	-0.596	-4.635	0.749	NA	-1.378	NA	0.057	-2.065	1.346	-0.407	2.245	2.01	-1.451	-0.478	-4.688	1.797	NA	-0.69	NA	-0.057	-3.377	-0.318
